StopID,Name,Shortname,Municipality,Zone,X,Y,RealTimeDatabaseID
3011457,Teisenkrysset (rampe),TEIKR,OSL,1,601164,6643671,1
3011458,Teisenkrysset (Ringv mot nord),TEKRN,OSL,1,601220,6643643,1
3011459,Teisenkrysset (Strvn. mot sentr),TEIKS,OSL,1,601299,6643634,1
3011460,Bryn [tog],BRN,OSL,1,601700,6642605,3
3011465,Tveten bru,TVEB,OSL,1,602017,6643107,1
3011466,Klosterheim,KLH,OSL,1,601781,6643100,1
3011467,Bryn skole,BRSK,OSL,1,601975,6643236,1
3011471,Prost Hallings vei,PHV,OSL,1,601762,6643495,1
3011472,Ulvenkrysset (nordsiden),UK,OSL,1,601559,6643777,1
3011473,Ulvenkrysset (sydsiden),ULKR,OSL,1,601544,6643746,1
3011474,Fjellhus,FJH,OSL,1,602063,6644013,1
3011475,Ole Deviks vei,ODV,OSL,1,602344,6644238,1
3011476,Caspar Storms vei,CSV,OSL,1,602305,6643892,1
3011477,Fretex,FREX,OSL,1,602155,6643564,1
3011482,Sinsen kirke,SISK,OSL,1,599963,6645145,1
3011484,Løren,LØR,OSL,1,600221,6645009,1
3011485,Frydenbergveien,FRYB,OSL,1,600130,6644878,1
3011486,Økernkrysset (i Lørenvn),ØKEKR,OSL,1,600616,6644875,1
3011510,Hellerud [T-bane],HEL,OSL,1,602385,6642820,2
3011511,Hellerud (i Tvetenveien),HELR,OSL,1,602368,6642881,1
3011512,Tveten gård,TVEG,OSL,1,602718,6642946,1
3011513,Lønnealleen,LØNN,OSL,1,602578,6642922,1
3011514,Simon Darres vei,SDV,OSL,1,602489,6643280,1
3011515,Kristins vei,KRIV,OSL,1,602651,6643565,1
3011516,Lavrans vei,LAVV,OSL,1,603038,6644022,1
3011517,Gunnulvs vei,GUNV,OSL,1,603211,6643902,1
3011518,Nåkkves vei,NÅKV,OSL,1,603209,6643750,1
3011520,Tveita [T-bane],TVE,OSL,1,602980,6643250,2
3011521,Tveita T (foran senteret),TVET,OSL,1,603033,6643250,1
3011522,Tveita (i Tvetenveien),TVEA,OSL,1,603099,6643251,1
3011523,Tveita (ved Ytre ringvei),TVEI,OSL,1,603125,6643160,1
3011525,Tveita bedriftsområde,TVBE,OSL,1,603345,6643490,1
3011526,Stordamveien,STDV,OSL,1,603286,6642976,1
3011527,Postkassene,PK,OSL,1,603523,6643090,1
3011530,Haugerud [T-bane],HAU,OSL,1,603696,6644239,2
3011531,Haugerud T [buss],HAUT,OSL,1,603702,6644173,1
3011533,Haugerudveien (i Tvetenveien),HAUV,OSL,1,603513,6643797,1
3011534,Haugerudveien (i Hellerudvn),HAVE,OSL,1,603500,6643661,1
3011536,Solfjellet,SOLF,OSL,1,604063,6644012,1
3011537,Larsbråten,LARS,OSL,1,604045,6643526,1
3011540,Trosterud [T-bane],TRO,OSL,1,604200,6644760,2
3011542,Doktor Dedichens vei,DDV,OSL,1,603942,6644530,1
3011543,Haukåsen skole,HAÅS,OSL,1,604177,6644234,1
3011544,Fagerholt,FA,OSL,1,604405,6644369,1
3011545,Lutvann skole,LUTS,OSL,1,604507,6644616,1
3011546,Lutvannsveien,LUTV,OSL,1,604684,6644562,1
3011547,Ole Messelts vei,OMV,OSL,1,604668,6644532,1
3011548,Lutvann leir,LUL,OSL,1,604979,6644430,1
3011551,Trasop skole,TRS,OSL,1,603544,6642183,1
3011552,Hellerudfaret,HELF,OSL,1,603544,6642339,1
3011554,Trasoppveien,TRV,OSL,1,603367,6642883,1
3011561,Rundtjernveien,RTV,OSL,1,603479,6643433,1
3011562,Hellerud terrasse,HELT,OSL,1,603820,6643212,1
3011563,Hellerudgrenda,HELG,OSL,1,603955,6643173,1
3011564,Krokstien,KROS,OSL,1,604019,6642905,1
